scenario,hc1_threshold,shifts,epochs,deferral_epochs,deferral_rate,throughput,unfinished,mean_fatigue,max_fatigue,hc1_breaches
S1,0.8,20,640,156,0.2437,67.9,7.1,0.4581,0.7953,0
S2,0.8,20,640,74,0.1156,90.55,21.45,0.5433,0.793,0
S3,0.8,20,640,125,0.1953,79.5,14.5,0.5006,0.793,0
S1,0.85,20,640,128,0.2,69.2,5.8,0.4759,0.8469,0
S2,0.85,20,640,68,0.1062,91.45,20.55,0.5544,0.8469,0
S3,0.85,20,640,90,0.1406,80.25,13.75,0.5152,0.8403,0
