scenario,scaling,baseline,seed,demand,throughput,good_units,scrap_units,scrap_rate,unfinished,maintenance_events,downtime_hrs,downtime_share,mean_health_end,mean_fatigue,max_fatigue,hc1_breaches,mean_rula,hc3_breaches,mean_cognitive_load,availability,performance,quality_rate,oee,constraint_violations,rest_episodes,rest_minutes,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered,energy_kwh,energy_per_unit,co2e_kg,machine_utilisation,operator_utilisation,workload_gini,deferral_epochs
S2,0.5,B2,14.5,112.0,91.9,80.2,11.7,0.12766333333333332,20.1,7.9,1.8583333333333334,0.04644333333333333,0.7550033333333332,0.68475,1.0,32.06666666666667,4.616196666666666,34.166666666666664,0.49565333333333333,0.9535566666666667,0.8053533333333333,0.8723366666666668,0.66998,66.23333333333333,0.0,0.0,0.0,0.0,0.0,0.0,120.84753333333333,1.3207766666666667,39.879733333333334,0.5711366666666666,0.95189,0.00494,0.0
S2,0.5,B3,14.5,112.0,91.2,80.8,10.4,0.11424666666666666,20.8,5.1,1.2666666666666666,0.03163666666666667,0.6738233333333333,0.5110233333333334,0.7788,0.0,3.95378,0.0,0.4421233333333333,0.9683633333333332,0.8191966666666667,0.8857533333333334,0.7027633333333333,0.0,0.0,0.0,1526.4666666666667,1904.5666666666666,1542.4666666666667,0.0,83.71253333333334,0.91954,27.625066666666665,0.4954766666666667,0.8257866666666666,0.022586666666666665,4.133333333333334
S2,1.0,B2,14.5,112.0,91.9,79.8,12.1,0.13205999999999998,20.1,7.9,1.8583333333333334,0.04644333333333333,0.7550033333333332,0.7411833333333334,1.0,43.06666666666667,4.717596666666666,36.43333333333333,0.4963,0.9535566666666667,0.8053533333333333,0.86794,0.6666266666666666,79.5,0.0,0.0,0.0,0.0,0.0,0.0,120.84753333333333,1.3207766666666667,39.879733333333334,0.5711366666666666,0.95189,0.00494,0.0
S2,1.0,B3,14.5,112.0,90.23333333333333,79.26666666666667,10.966666666666667,0.12167333333333333,21.766666666666666,5.466666666666667,1.3583333333333334,0.03393,0.7457366666666666,0.5411266666666666,0.7810266666666668,0.0,4.02799,0.0,0.4388033333333333,0.96607,0.8058466666666667,0.8783266666666667,0.6838466666666666,0.0,0.0,0.0,3919.9666666666667,1468.5,214.0,0.0,82.3666,0.9146266666666667,27.180966666666666,0.49465333333333333,0.82444,0.024336666666666666,3.533333333333333
S2,2.0,B2,14.5,112.0,91.9,79.76666666666667,12.133333333333333,0.13244666666666666,20.1,7.9,1.8583333333333334,0.04644333333333333,0.7550033333333332,0.7668,1.0,50.9,4.749116666666667,37.2,0.49648333333333333,0.9535566666666667,0.8053533333333333,0.8675533333333333,0.6663333333333333,88.1,0.0,0.0,0.0,0.0,0.0,0.0,120.84753333333333,1.3207766666666667,39.879733333333334,0.5711366666666666,0.95189,0.00494,0.0
S2,2.0,B3,14.5,112.0,86.5,75.4,11.1,0.12836999999999998,25.5,4.833333333333333,1.2083333333333333,0.03018,0.7401566666666667,0.51275,0.7510866666666666,0.0,3.98102,0.0,0.42835999999999996,0.96982,0.7849299999999999,0.87163,0.6635666666666666,0.0,0.0,0.0,6951.066666666667,518.5666666666667,61.06666666666667,0.0,74.464,0.8623533333333333,24.57316666666667,0.47205,0.7867466666666666,0.024560000000000002,5.2
