scenario,policy,hc1,seed,demand,throughput,good_units,scrap_units,scrap_rate,unfinished,maintenance_events,downtime_hrs,downtime_share,mean_health_end,mean_fatigue,max_fatigue,hc1_breaches,mean_rula,hc3_breaches,mean_cognitive_load,rest_episodes,rest_minutes,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered,energy_kwh,energy_per_unit,co2e_kg,machine_utilisation,operator_utilisation,workload_gini,deferral_epochs,breaches_vs_reference
S1,B1_unconstrained,,14.5,75.0,75.0,65.53333333333333,9.466666666666667,0.12622333333333333,0.0,5.233333333333333,1.3083333333333333,0.03267,0.6633166666666667,0.6244,1.0,33.43333333333333,4.748413333333334,29.533333333333335,0.4886233333333333,0.0,0.0,0.0,0.0,0.0,0.0,102.9836,1.3731133333333332,33.98466666666666,0.46536333333333335,0.7756066666666667,0.008936666666666667,0.0,33.43333333333333
S1,B3a_constrained,0.7,14.5,75.0,65.13333333333334,57.266666666666666,7.866666666666666,0.12164333333333334,9.866666666666667,4.033333333333333,1.0,0.024986666666666667,0.7523599999999999,0.4107766666666667,0.6884,0.0,3.94164,0.0,0.45564333333333334,0.0,0.0,3895.866666666667,1267.2666666666667,56.36666666666667,0.0,70.98313333333334,1.0916466666666667,23.424500000000002,0.37315333333333334,0.6219233333333333,0.07090333333333333,9.0,0.0
S1,B3a_constrained,0.8,14.5,75.0,67.53333333333333,59.0,8.533333333333333,0.12736333333333333,7.466666666666667,4.466666666666667,1.1,0.027476666666666667,0.7459133333333334,0.45559999999999995,0.7798866666666666,0.0,4.05498,0.0,0.45963333333333334,0.0,0.0,2488.8,1381.2,197.9,0.0,76.84826666666666,1.1396733333333333,25.3599,0.39270666666666665,0.6545066666666667,0.08427666666666668,7.666666666666667,0.0
S1,B3a_constrained,0.9,14.5,75.0,69.0,60.666666666666664,8.333333333333334,0.12141666666666667,6.0,4.866666666666666,1.2083333333333333,0.030166666666666668,0.77726,0.48145666666666664,0.8582566666666666,0.0,4.11689,0.0,0.46466999999999997,0.0,0.0,1417.2333333333333,1528.2333333333333,592.3,0.0,80.38703333333333,1.1666766666666668,26.527733333333334,0.40432666666666667,0.67388,0.08362333333333334,7.066666666666666,5.466666666666667
S2,B1_unconstrained,,14.5,112.0,91.53333333333333,80.23333333333333,11.3,0.12387333333333334,20.466666666666665,6.566666666666666,1.55,0.03872,0.57997,0.7451233333333334,1.0,43.666666666666664,4.798730000000001,37.53333333333333,0.49466,0.0,0.0,0.0,0.0,0.0,0.0,122.54036666666666,1.3433866666666667,40.43836666666667,0.5719833333333334,0.9533033333333333,0.004833333333333333,0.0,43.666666666666664
S2,B3a_constrained,0.7,14.5,112.0,88.3,77.5,10.8,0.12250333333333334,23.7,5.033333333333333,1.2416666666666667,0.030999999999999996,0.72424,0.5076066666666667,0.69163,0.0,3.934013333333333,0.0,0.43354333333333334,0.0,0.0,6317.433333333333,805.6333333333333,59.733333333333334,0.0,77.99106666666667,0.8850033333333334,25.7371,0.48199666666666663,0.8033366666666667,0.019203333333333336,5.1,0.0
S2,B3a_constrained,0.8,14.5,112.0,90.23333333333333,79.26666666666667,10.966666666666667,0.12167333333333333,21.766666666666666,5.466666666666667,1.3583333333333334,0.03393,0.7457366666666666,0.5411266666666666,0.7810266666666668,0.0,4.02799,0.0,0.4388033333333333,0.0,0.0,3919.9666666666667,1468.5,214.0,0.0,82.3666,0.9146266666666667,27.180966666666666,0.49465333333333333,0.82444,0.024336666666666666,3.533333333333333,0.0
S2,B3a_constrained,0.9,14.5,112.0,91.56666666666666,80.56666666666666,11.0,0.12023666666666667,20.433333333333334,5.366666666666666,1.3416666666666666,0.03351,0.7046399999999999,0.56312,0.8675366666666666,0.0,4.090573333333333,0.0,0.4416333333333334,0.0,0.0,2199.8,1866.9333333333334,752.2333333333333,0.0,85.4646,0.9350866666666667,28.203366666666668,0.5028866666666667,0.8381500000000001,0.02471,2.533333333333333,7.933333333333334
S3,B1_unconstrained,,14.5,94.0,90.13333333333334,78.23333333333333,11.9,0.13228666666666666,3.8666666666666667,7.8,2.825,0.07061999999999999,0.6309933333333333,0.7385433333333334,1.0,43.13333333333333,4.788056666666666,36.53333333333333,0.49001,0.0,0.0,0.0,0.0,0.0,0.0,121.64556666666667,1.3544466666666668,40.142966666666666,0.5643933333333333,0.9406466666666666,0.005066666666666666,0.0,43.13333333333333
S3,B3a_constrained,0.7,14.5,94.0,76.9,67.43333333333334,9.466666666666667,0.12333666666666666,17.1,5.9,2.8833333333333333,0.07209333333333333,0.7692833333333333,0.4581966666666667,0.6876,0.0,3.93874,0.0,0.43804,0.0,0.0,4668.766666666666,1196.0,55.8,0.0,74.45323333333334,0.9705233333333333,24.569533333333332,0.42795,0.7132533333333334,0.03743333333333333,7.0,0.0
