scenario,policy,seed,demand,throughput,good_units,scrap_units,scrap_rate,unfinished,maintenance_events,downtime_hrs,downtime_share,mean_health_end,mean_fatigue,max_fatigue,hc1_breaches,mean_rula,hc3_breaches,mean_cognitive_load,availability,performance,quality_rate,oee,constraint_violations,rest_episodes,rest_minutes,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered,energy_kwh,energy_per_unit,co2e_kg,machine_utilisation,operator_utilisation,workload_gini,deferral_epochs
S1,B2 Industry 4.0,14.5,75.0,75.0,64.73333333333333,10.266666666666667,0.13688333333333333,0.0,6.133333333333334,1.5333333333333334,0.03832666666666666,0.7980166666666667,0.6169833333333333,1.0,33.266666666666666,4.66984,27.933333333333334,0.49306666666666665,0.9616733333333334,0.8215366666666667,0.8631166666666666,0.68206,61.2,0.0,0.0,0.0,0.0,0.0,0.0,100.7717,1.3436166666666667,33.2547,0.4600066666666667,0.7666766666666667,0.008746666666666668,0.0
S1,B3 as configured,14.5,75.0,67.53333333333333,59.0,8.533333333333333,0.12736333333333333,7.466666666666667,4.466666666666667,1.1,0.027476666666666667,0.7459133333333334,0.45559999999999995,0.7798866666666666,0.0,4.05498,0.0,0.45963333333333334,0.9725199999999999,0.8195899999999999,0.8726366666666667,0.6954533333333334,0.0,0.0,0.0,2488.8,1381.2,197.9,0.0,76.84826666666666,1.1396733333333333,25.3599,0.39270666666666665,0.6545066666666667,0.08427666666666668,7.666666666666667
S1,B3 + retrained,14.5,75.0,72.43333333333334,63.333333333333336,9.1,0.12600666666666666,2.566666666666667,5.4,1.3083333333333333,0.03267,0.7071066666666667,0.5263366666666667,0.7765433333333333,0.0,4.180823333333334,0.0,0.4823033333333333,0.96733,0.8021666666666667,0.8739933333333333,0.6781733333333333,0.0,0.0,0.0,2108.866666666667,0.0,529.8333333333334,0.0,92.02403333333334,1.2726333333333335,30.367933333333333,0.44698,0.7449633333333333,0.031773333333333334,6.666666666666667
S2,B2 Industry 4.0,14.5,112.0,91.9,79.8,12.1,0.13205999999999998,20.1,7.9,1.8583333333333334,0.04644333333333333,0.7550033333333332,0.7411833333333334,1.0,43.06666666666667,4.717596666666666,36.43333333333333,0.4963,0.9535566666666667,0.8053533333333333,0.86794,0.6666266666666666,79.5,0.0,0.0,0.0,0.0,0.0,0.0,120.84753333333333,1.3207766666666667,39.879733333333334,0.5711366666666666,0.95189,0.00494,0.0
S2,B3 as configured,14.5,112.0,90.23333333333333,79.26666666666667,10.966666666666667,0.12167333333333333,21.766666666666666,5.466666666666667,1.3583333333333334,0.03393,0.7457366666666666,0.5411266666666666,0.7810266666666668,0.0,4.02799,0.0,0.4388033333333333,0.96607,0.8058466666666667,0.8783266666666667,0.6838466666666666,0.0,0.0,0.0,3919.9666666666667,1468.5,214.0,0.0,82.3666,0.9146266666666667,27.180966666666666,0.49465333333333333,0.82444,0.024336666666666666,3.533333333333333
S2,B3 + retrained,14.5,112.0,92.23333333333333,80.56666666666666,11.666666666666666,0.12646333333333332,19.766666666666666,5.766666666666667,1.425,0.03561,0.7033866666666667,0.5829333333333333,0.7798533333333333,0.0,4.1295633333333335,0.0,0.44813333333333333,0.96439,0.7891833333333333,0.8735366666666666,0.6649766666666667,0.0,0.0,0.0,3504.9,0.0,736.7333333333333,0.0,90.34663333333333,0.9815566666666666,29.8143,0.5240433333333333,0.8734066666666667,0.012553333333333333,2.8333333333333335
S3,B2 Industry 4.0,14.5,94.0,91.03333333333333,78.73333333333333,12.3,0.13557,2.966666666666667,8.7,2.775,0.06938666666666667,0.7384799999999999,0.73546,1.0,42.1,4.7093799999999995,35.56666666666667,0.49437,0.9306133333333333,0.8114566666666666,0.86443,0.6529166666666666,77.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,119.59063333333333,1.3177733333333335,39.46496666666667,0.56279,0.9379766666666666,0.005476666666666667,0.0
S3,B3 as configured,14.5,94.0,79.43333333333334,69.9,9.533333333333333,0.12036,14.566666666666666,6.2,2.825,0.07062333333333333,0.7486166666666667,0.5006066666666666,0.77928,0.0,4.0349433333333335,0.0,0.44556,0.9294,0.81413,0.87964,0.6654366666666667,0.0,0.0,0.0,3038.4666666666667,1562.3666666666666,189.86666666666667,0.0,80.08763333333333,1.0104133333333334,26.428966666666668,0.44614666666666664,0.74358,0.04764,6.066666666666666
S3,B3 + retrained,14.5,94.0,82.9,72.63333333333334,10.266666666666667,0.12407666666666667,11.1,6.866666666666666,2.683333333333333,0.06707333333333333,0.7239833333333333,0.5588033333333333,0.7774599999999999,0.0,4.1522733333333335,0.0,0.46348333333333336,0.9329333333333333,0.79576,0.8759233333333333,0.6499466666666667,0.0,0.0,0.0,2777.4,0.0,649.8666666666667,0.0,91.92123333333333,1.1113566666666665,30.3341,0.4890933333333333,0.8151566666666666,0.019553333333333332,5.233333333333333
