scenario,weights,w1,w2,w3,w4,w5,seed,demand,throughput,good_units,scrap_units,scrap_rate,unfinished,maintenance_events,downtime_hrs,downtime_share,mean_health_end,mean_fatigue,max_fatigue,hc1_breaches,mean_rula,hc3_breaches,mean_cognitive_load,availability,performance,quality_rate,oee,constraint_violations,rest_episodes,rest_minutes,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered,energy_kwh,energy_per_unit,co2e_kg,machine_utilisation,operator_utilisation,workload_gini,deferral_epochs
S2,W-Balanced,0.2,0.15,0.2,0.15,0.3,14.5,112.0,90.23333333333333,79.26666666666667,10.966666666666667,0.12167333333333333,21.766666666666666,5.466666666666667,1.3583333333333334,0.03393,0.7457366666666666,0.5411266666666666,0.7810266666666668,0.0,4.02799,0.0,0.4388033333333333,0.96607,0.8058466666666667,0.8783266666666667,0.6838466666666666,0.0,0.0,0.0,3919.9666666666667,1468.5,214.0,0.0,82.3666,0.9146266666666667,27.180966666666666,0.49465333333333333,0.82444,0.024336666666666666,3.533333333333333
S2,W-Human,0.35,0.25,0.1,0.1,0.2,14.5,112.0,90.3,78.96666666666667,11.333333333333334,0.1255433333333333,21.7,5.633333333333334,1.4083333333333334,0.03519333333333333,0.7707633333333334,0.5408733333333333,0.78151,0.0,4.0220666666666665,0.0,0.44067666666666666,0.9648066666666667,0.8069333333333333,0.8744566666666667,0.6807666666666666,0.0,0.0,0.0,3900.0666666666666,1490.9,211.63333333333333,0.0,82.46513333333334,0.9148200000000001,27.2135,0.49467,0.82444,0.024806666666666664,3.4
S2,W-Green,0.15,0.1,0.3,0.25,0.2,14.5,112.0,90.3,79.36666666666666,10.933333333333334,0.12121,21.7,4.9,1.2083333333333333,0.03017,0.6632866666666667,0.5416433333333334,0.78113,0.0,4.072476666666667,0.0,0.4310233333333333,0.96983,0.8082366666666666,0.8787900000000001,0.6889266666666667,0.0,0.0,0.0,3951.9,1521.2,178.96666666666667,0.0,82.16706666666667,0.9117133333333334,27.115066666666667,0.49384666666666666,0.8230866666666666,0.02317666666666667,3.6
S2,W-Profit,0.05,0.05,0.05,0.05,0.8,14.5,112.0,90.26666666666667,79.3,10.966666666666667,0.12165333333333334,21.733333333333334,5.333333333333333,1.3333333333333333,0.03330333333333333,0.7309933333333334,0.54198,0.78107,0.0,4.030713333333333,0.0,0.43912333333333337,0.9666966666666668,0.8058166666666667,0.8783466666666667,0.6842933333333333,0.0,0.0,0.0,3919.8333333333335,1484.5666666666666,187.7,0.0,82.45123333333332,0.9151033333333333,27.208933333333334,0.49500666666666665,0.8250233333333334,0.024853333333333335,3.4
S2,B2 (Industry 4.0),,,,,,14.5,112.0,91.9,79.8,12.1,0.13205999999999998,20.1,7.9,1.8583333333333334,0.04644333333333333,0.7550033333333332,0.7411833333333334,1.0,43.06666666666667,4.717596666666666,36.43333333333333,0.4963,0.9535566666666667,0.8053533333333333,0.86794,0.6666266666666666,79.5,0.0,0.0,0.0,0.0,0.0,0.0,120.84753333333333,1.3207766666666667,39.879733333333334,0.5711366666666666,0.95189,0.00494,0.0
