run_id,scenario,baseline,seed,mean_fatigue,max_fatigue,mean_rula,workload_gini,energy_kwh,energy_per_unit,co2e_kg,scrap_rate,throughput,downtime_hrs,oee,constraint_violations,runtime_sec,demand,good_units,scrap_units,unfinished,maintenance_events,downtime_share,mean_health_end,hc1_breaches,hc3_breaches,mean_cognitive_load,availability,performance,quality_rate,rest_episodes,rest_minutes,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered,machine_utilisation,operator_utilisation,deferral_epochs
S3_B1_s06,S3,B1,6,0.7755,1.0,4.9293,0.0072,129.714,1.491,42.806,0.092,87,1.75,0.6934,94,0.0253,94,79,8,7,8,0.0437,0.5501,50,44,0.5097,0.9563,0.7985,0.908,0,0.0,0,0,0,0,0.5719,0.9531,0
S3_B1_s07,S3,B1,7,0.725,1.0,4.6116,0.0143,117.863,1.2673,38.895,0.0968,93,1.75,0.6888,73,0.0248,94,84,9,1,7,0.0437,0.6391,42,31,0.4746,0.9563,0.7974,0.9032,0,0.0,0,0,0,0,0.5695,0.9492,0
S3_B1_s08,S3,B1,8,0.6904,1.0,4.5924,0.0054,113.143,1.2036,37.337,0.0957,94,4.25,0.6568,62,0.0253,94,85,9,0,7,0.1062,0.614,35,27,0.4612,0.8938,0.8127,0.9043,0,0.0,0,0,0,0,0.5547,0.9245,0
S3_B1_s09,S3,B1,9,0.6971,1.0,4.6479,0.0026,114.601,1.2594,37.818,0.2088,91,3.0,0.5692,66,0.0248,94,72,19,3,7,0.075,0.5862,33,33,0.4697,0.925,0.7778,0.7912,0,0.0,0,0,0,0,0.5647,0.9411,0
S3_B1_s10,S3,B1,10,0.7537,1.0,4.8156,0.0093,122.295,1.3439,40.357,0.1758,91,1.25,0.6269,77,0.0256,94,75,16,3,7,0.0312,0.3451,37,40,0.4928,0.9688,0.7852,0.8242,0,0.0,0,0,0,0,0.5752,0.9587,0
S3_B1_s11,S3,B1,11,0.7315,1.0,4.7565,0.0024,121.075,1.3305,39.955,0.0989,91,3.5,0.6552,76,0.0312,94,82,9,3,9,0.0875,0.8889,39,37,0.4874,0.9125,0.7968,0.9011,0,0.0,0,0,0,0,0.5658,0.943,0
S3_B1_s12,S3,B1,12,0.7232,1.0,4.6776,0.0099,114.801,1.2344,37.884,0.1075,93,3.0,0.6532,74,0.0276,94,83,10,1,8,0.075,0.6082,40,34,0.4778,0.925,0.7912,0.8925,0,0.0,0,0,0,0,0.5677,0.9461,0
S3_B1_s13,S3,B1,13,0.747,1.0,4.7973,0.0028,122.349,1.3747,40.375,0.1798,89,2.5,0.6092,88,0.0275,94,73,16,5,7,0.0625,0.3415,49,39,0.4917,0.9375,0.7923,0.8202,0,0.0,0,0,0,0,0.5659,0.9431,0
S3_B1_s14,S3,B1,14,0.6749,1.0,4.5864,0.004,107.1,1.1394,35.343,0.1277,94,4.5,0.6366,63,0.025,94,82,12,0,8,0.1125,0.7811,33,30,0.4606,0.8875,0.8222,0.8723,0,0.0,0,0,0,0,0.5433,0.9054,0
S3_B1_s15,S3,B1,15,0.7525,1.0,4.9432,0.0025,127.94,1.5052,42.22,0.0941,85,4.5,0.6347,89,0.0263,94,77,8,9,8,0.1125,0.6695,48,41,0.5149,0.8875,0.7895,0.9059,0,0.0,0,0,0,0,0.5605,0.9342,0
S3_B1_s16,S3,B1,16,0.7105,1.0,4.615,0.0088,111.964,1.1911,36.948,0.117,94,2.0,0.6881,70,0.0268,94,83,11,0,8,0.05,0.8554,40,30,0.4716,0.95,0.8203,0.883,0,0.0,0,0,0,0,0.5536,0.9227,0
S3_B1_s17,S3,B1,17,0.7817,1.0,5.0075,0.0013,129.651,1.5435,42.785,0.1786,84,3.25,0.5906,90,0.0268,94,69,15,10,8,0.0813,0.6725,53,37,0.524,0.9187,0.7826,0.8214,0,0.0,0,0,0,0,0.5643,0.9406,0
S3_B1_s18,S3,B1,18,0.7083,1.0,4.618,0.0033,113.266,1.205,37.378,0.1064,94,3.25,0.673,69,0.0278,94,84,10,0,9,0.0813,0.6816,39,30,0.4723,0.9187,0.8197,0.8936,0,0.0,0,0,0,0,0.5571,0.9285,0
S3_B1_s19,S3,B1,19,0.6959,1.0,4.5415,0.0124,111.276,1.1838,36.721,0.1702,94,4.25,0.5914,54,0.0281,94,78,16,0,7,0.1062,0.596,29,25,0.4583,0.8938,0.7974,0.8298,0,0.0,0,0,0,0,0.5602,0.9336,0
S3_B1_s20,S3,B1,20,0.6821,1.0,4.5649,0.0036,107.045,1.1388,35.325,0.1277,94,1.75,0.6792,62,0.0262,94,82,12,0,7,0.0437,0.7261,33,29,0.4713,0.9563,0.8142,0.8723,0,0.0,0,0,0,0,0.5465,0.9109,0
